Sample_ID;Depth_sampling;Part;Date_min;Date_max;Date_median;Date_mean
A01;1;I;NA;NA;NA;2022
A03;3;I;2019;2024;2022;2022
A05;5;I;2017;2021;2019;2019
A06;6;I;2015;2020;2017;2017
A08;8;I;2011;2018;2015;2015
A10;10;I;2008;2016;2012;2012
A12;12;I;2004;2015;2009;2009
A14;14;I;2002;2013;2007;2007
A16;16;I;1998;2012;2005;2005
A18;18;I;1993;2012;2004;2003
A20;20;I;1988;2012;2002;2001
A22;22;I;1988;2012;2002;2001
A24;24;I;1978;2011;1999;1998
A26;26;I;1978;2007;1997;1995
A28;28;I;1977;2005;1994;1993
A30;30;I;1976;2004;1991;1991
A32;32;I;1975;2004;1988;1989
A34;34;I;1971;2003;1986;1986
A36;36;I;1966;2003;1984;1984
A38;38;I;1965;2001;1981;1981
A42;42;I;1961;1998;1976;1977
A46;46;II;1960;1997;1975;1976
A50;50;II;1959;1994;1974;1975
A54;54;II;1959;1992;1972;1973
A60;60;II;1956;1991;1969;1971
A64;64;II;1956;1988;1968;1969
A68;68;II;1956;1986;1967;1968
B02;70;II;1955;1985;1966;1967
B04;72;II;1954;1985;1965;1966
B08;76;II;1954;1979;1964;1965
B16;84;II;1953;1973;1962;1962
B20;88;II;1952;1972;1961;1961
B22;90;II;1952;1972;1961;1961
B24;92;II;1952;1972;1961;1961
B26;94;III;1951;1971;1960;1960
B28;96;III;1951;1971;1960;1960
B30;98;III;1921;1968;1956;1952
B32;100;III;1882;1968;1953;1945
B34;102;III;1843;1968;1951;1937
B36;104;III;1804;1967;1949;1929
B38;106;III;1764;1967;1947;1921
B42;110;III;1719;1964;1925;1902
B46;114;III;1700;1963;1900;1879
B52;120;III;1603;1963;1878;1845
B56;124;III;1594;1958;1843;1824
B60;128;III;1581;1957;1810;1803
B64;132;III;1533;1957;1789;1781
B68;136;III;1529;1948;1764;1759
B72;140;IV;1520;1945;1729;1736
B76;144;IV;1491;1943;1701;1713
B78;146;IV;1491;1938;1697;1708
B80;148;IV;1491;1938;1692;1702
B84;152;IV;1486;1937;1678;1690
C06;160;IV;1471;1871;1654;1660
C10;164;IV;1464;1854;1637;1641
C14;168;IV;1449;1849;1616;1622
C18;172;IV;1403;1814;1580;1586
C22;176;IV;1302;1808;1555;1551
C30;184;IV;1165;1765;1501;1485
C34;188;IV;1152;1755;1462;1455
C38;192;IV;1104;1751;1431;1426
C40;194;IV;1101;1701;1412;1406
C42;196;IV;1098;1678;1390;1387
C46;200;IV;1088;1661;1333;1348
C50;204;V;1055;1655;1279;1309
C54;208;V;1052;1524;1263;1275
C58;212;V;1050;1462;1238;1241
C62;216;V;1028;1428;1206;1207
C64;218;V;1018;1417;1195;1195
C66;220;V;982;1404;1184;1182
C70;224;V;839;1395;1169;1158
C72;226;V;772;1394;1163;1146
